,question,questiontype,keyword
0,"(what,PRON) (place,NOUN) (is,VERB) (the,DET) (birthplace,NOUN) (of,ADP) (vijay,PROPN,B-PER)  (chavan,PROPN,E-PER)  (where,ADV) (eka,PROPN,B-ORG)  (lagnachi,PROPN,I-ORG)  (teesri,PROPN,I-ORG)  (goshta,PROPN,E-ORG)  (is,VERB) (located,VERB) (as,ADV) (well,ADV) (?,.)",Which,"birthplace, vijay chavan, eka lagnachi teesri goshta"
1,"(what,PRON) (place,NOUN) (is,VERB) (the,DET) (birthplace,NOUN) (of,ADP) (vijay,PROPN,B-PER)  (chavan,PROPN,E-PER)  (where,ADV) (eka,PROPN,B-ORG)  (lagnachi,PROPN,I-ORG)  (teesri,PROPN,I-ORG)  (goshta,PROPN,E-ORG)  (is,VERB) (located,VERB) (as,ADV) (well,ADV) (?,.)",WHAT,"PLACE, BIRTHPLACE, VIJAY CHAVAN, Eka Lagnachi Teesri Goshta, LOCATED , WELL"
2,"(which,PRON) (bands,NOUN) (broke,VERB) (up,ADP) (in,ADP) (2000,NUM) (?,.)",Which,"bands, broke up, 2000"
3,"(which,PRON) (bands,NOUN) (broke,VERB) (up,ADP) (in,ADP) (2000,NUM) (?,.)",Which,"Bands, broke up, 2000"
4,"(by,ADP) (whom,PRON) (is,VERB) (the,DET) (single,ADJ) (pure,ADJ) (morning,NOUN) (?,.)",WHOM,"SINGLE, PURE, MORNING"
5,"(by,ADP) (whom,PRON) (is,VERB) (the,DET) (single,ADJ) (pure,ADJ) (morning,NOUN) (?,.)",Who,"single, pure morning"
6,"(where,ADV) (is,VERB) (hafthor,PROPN,B-PER)  (julius,PROPN,I-PER)  (bjornsson,PROPN,E-PER)  (from,ADP) (?,.)",WHERE,"HAFTHOR, JULIUS, BJORNSSON"
7,"(where,ADV) (is,VERB) (hafthor,PROPN,B-PER)  (julius,PROPN,I-PER)  (bjornsson,PROPN,E-PER)  (from,ADP) (?,.)",WHERE,"Hafthor Julius Bjornsson, FROM"
8,"(who,PRON) (produced,VERB) (the,DET) (albums,NOUN) (out,ADP) (of,ADP) (time,NOUN) (and,CCONJ) (automatic,ADJ) (for,ADP) (the,DET) (people,NOUN) (?,.)",who,"albums, out of time, automatic for the people"
9,"(who,PRON) (produced,VERB) (the,DET) (albums,NOUN) (out,ADP) (of,ADP) (time,NOUN) (and,CCONJ) (automatic,ADJ) (for,ADP) (the,DET) (people,NOUN) (?,.)",who,"produced, albums, out of time, automatic"
10,"(what,PRON) (writers,NOUN) (have,VERB) (nationality,NOUN) (as,ADP) (statelessness,PROPN) (?,.)",what,"writers, nationality, statelessness"
11,"(what,PRON) (writers,NOUN) (have,VERB) (nationality,NOUN) (as,ADP) (statelessness,PROPN) (?,.)",WHAT,"WRITERS, NATIONALITY, STATELESSNESS"
12,"(does,VERB) (air,PROPN) (2000,PROPN) (fly,VERB) (to,ADP) (the,DET) (north,ADJ) (american,ADJ,S-MISC)  (continent,NOUN) (?,.)",yes/no,"Air 2000, fly, north american continent"
13,"(does,VERB) (air,PROPN) (2000,PROPN) (fly,VERB) (to,ADP) (the,DET) (north,ADJ) (american,ADJ,S-MISC)  (continent,NOUN) (?,.)",Does,"Air 2000, North American continent"
14,"(music,NOUN) (for,ADP) (what,PRON) (was,VERB) (made,VERB) (by,ADP) (someone,NOUN) (who,PRON) (died,VERB) (of,ADP) (a,DET) (cardiovascular,ADJ) (disease,NOUN) (?,.)",what,"music, made, died, cardiovascular disease"
15,"(music,NOUN) (for,ADP) (what,PRON) (was,VERB) (made,VERB) (by,ADP) (someone,NOUN) (who,PRON) (died,VERB) (of,ADP) (a,DET) (cardiovascular,ADJ) (disease,NOUN) (?,.)",what,"music, made, died, cardiovascular disease"
16,"(what,PRON) (did,VERB) (michael,PROPN,B-PER)  (faraday,PROPN,E-PER)  (and,CCONJ) (joseph,PROPN,B-PER)  (henry,PROPN,E-PER)  (discover,VERB) (?,.)",what,"michael faraday, joseph henry, discover"
17,"(what,PRON) (did,VERB) (michael,PROPN,B-PER)  (faraday,PROPN,E-PER)  (and,CCONJ) (joseph,PROPN,B-PER)  (henry,PROPN,E-PER)  (discover,VERB) (?,.)",What,"Michael Faraday, Joseph Henry, Discover"
18,"(in,ADP) (which,PRON) (racing,NOUN) (championships,NOUN) (did,VERB) (bobby,PROPN,B-PER)  (beasley,PROPN,E-PER)  (and,CCONJ) (martin,PROPN,B-PER)  (molony,PROPN,E-PER)  (participate,VERB) (?,.)",Which,"racing, championships, Bobby Beasley, Martin Molony, participate"
19,"(in,ADP) (which,PRON) (racing,NOUN) (championships,NOUN) (did,VERB) (bobby,PROPN,B-PER)  (beasley,PROPN,E-PER)  (and,CCONJ) (martin,PROPN,B-PER)  (molony,PROPN,E-PER)  (participate,VERB) (?,.)",which,"racing, championships, Bobby Beasley, Martin Molony"
20,"(give,VERB) (me,PRON) (all,DET) (swiss,ADJ) (non-profit,NOUN) (?,.)",Give,"Swiss, non-profit, organizations"
21,"(give,VERB) (me,PRON) (all,DET) (swiss,ADJ) (non-profit,NOUN) (?,.)",List,"swiss, non-profit, organizations"
22,"(how,ADV) (many,ADJ) (singles,NOUN) (did,VERB) (brian,X) (eno,X) (record,NOUN) (?,.)",how many,"singles, brain, eno, record"
23,"(how,ADV) (many,ADJ) (singles,NOUN) (did,VERB) (brian,X) (eno,X) (record,NOUN) (?,.)",how many,"singles, brian, eno record"
24,"(what,PRON) (famous,ADJ) (musicians,NOUN) (play,VERB) (the,DET) (remo,NOUN) (?,.)",What,"famous, musicians, play, the remo"
25,"(what,PRON) (famous,ADJ) (musicians,NOUN) (play,VERB) (the,DET) (remo,NOUN) (?,.)",WHAT,"FAMOUS, MUSICIANS, PLAY, REMO"
26,"(whose,PRON) (families,NOUN) (are,VERB) (buccinoidea,PROPN,S-PER)  (and,CCONJ) (buccinidae,PROPN,S-PER)  (?,.)",WHOSE,"FAMILIES,BUCCINOIDEA,BUCCINIDAE"
27,"(whose,PRON) (families,NOUN) (are,VERB) (buccinoidea,PROPN,S-PER)  (and,CCONJ) (buccinidae,PROPN,S-PER)  (?,.)",whose,"damilies, buccinodea ,buccinidae"
28,"(who,PRON) (plays,VERB) (lord,NOUN) (voldemort,NOUN) (in,ADP) (deathly,ADJ) (hallows,NOUN) (?,.)",Who,"Who, Lord Voldemort, Deathly Hallows"
29,"(who,PRON) (plays,VERB) (lord,NOUN) (voldemort,NOUN) (in,ADP) (deathly,ADJ) (hallows,NOUN) (?,.)",who,"play, lord voldemort, deathly hallows"
30,"(in,ADP) (which,PRON) (country,NOUN) (is,VERB) (mecca,NOUN) (located,VERB) (?,.)",which,"country, mecca, located"
31,"(in,ADP) (which,PRON) (country,NOUN) (is,VERB) (mecca,NOUN) (located,VERB) (?,.)",Which,"country, mecca, located"
32,"(how,ADV) (often,ADV) (did,VERB) (madonna,NOUN) (marry,VERB) (?,.)",HOW,"MADONNA,MARRY"
33,"(how,ADV) (often,ADV) (did,VERB) (madonna,NOUN) (marry,VERB) (?,.)",how often,"madonna, marry"
34,"(who,PRON) (played,VERB) (dylan,PROPN,B-PER)  (mckay,PROPN,E-PER)  (on,ADP) (beverly,PROPN) (hill,PROPN) (90210,NUM) (?,.)",Who,"dylan mckay, beverly hill 90210"
35,"(who,PRON) (played,VERB) (dylan,PROPN,B-PER)  (mckay,PROPN,E-PER)  (on,ADP) (beverly,PROPN) (hill,PROPN) (90210,NUM) (?,.)",who,"played,dylan mckay,beverly hill"
36,"(among,ADP) (which,PRON) (city,NOUN) (where,ADV) (geography,PROPN,B-ORG)  (club,PROPN,E-ORG)  (played,VERB) (also,ADV) (had,VERB) (the,DET) (kenticky,PROPN,B-MISC)  (cycle,PROPN,E-MISC)  (?,.)",Which,"city, geography club, kenticky cycle"
37,"(among,ADP) (which,PRON) (city,NOUN) (where,ADV) (geography,PROPN,B-ORG)  (club,PROPN,E-ORG)  (played,VERB) (also,ADV) (had,VERB) (the,DET) (kenticky,PROPN,B-MISC)  (cycle,PROPN,E-MISC)  (?,.)",which,"city ,Geography Club,played ,Kenticky Cycle"
38,"(name,VERB) (the,DET) (artist,NOUN) (of,ADP) (brad,PROPN,B-PER)  (paisley,PROPN,E-PER)  (discography,NOUN) (?,.)",Name,"artist, Brad Paisley, discography"
39,"(name,VERB) (the,DET) (artist,NOUN) (of,ADP) (brad,PROPN,B-PER)  (paisley,PROPN,E-PER)  (discography,NOUN) (?,.)",Name,"artist, Brad Paisley, discography"
40,"(what,PRON) (is,VERB) (the,DET) (net,ADJ) (income,NOUN) (of,ADP) (apple,NOUN) (?,.)",What,"net,income,apple"
41,"(what,PRON) (is,VERB) (the,DET) (net,ADJ) (income,NOUN) (of,ADP) (apple,NOUN) (?,.)",What,"net, income, apple"
42,"(what,PRON) (country,NOUN) (is,VERB) (between,ADP) (syria,PROPN,S-LOC)  (and,CCONJ) (iran,NOUN,S-LOC)  (?,.)",what,"country, syria, iran"
43,"(what,PRON) (country,NOUN) (is,VERB) (between,ADP) (syria,PROPN,S-LOC)  (and,CCONJ) (iran,NOUN,S-LOC)  (?,.)",What,"country, Syria, Iran"
44,"(ernest,PROPN,B-PER)  (rutherford,PROPN,E-PER)  (was,VERB) (the,DET) (advisor,NOUN) (of,ADP) (how,ADV) (many,ADJ) (people,NOUN) (?,.)",how many,"Ernest Rutherford, advisor, people"
45,"(ernest,PROPN,B-PER)  (rutherford,PROPN,E-PER)  (was,VERB) (the,DET) (advisor,NOUN) (of,ADP) (how,ADV) (many,ADJ) (people,NOUN) (?,.)",how many,"Ernest Rutherford, advisor, people"
46,"(name,VERB) (the,DET) (tv,NOUN) (show,NOUN) (whose,PRON) (composer,NOUN) (is,VERB) (judy,PROPN,B-PER)  (hart,PROPN,I-PER)  (angelo,PROPN,E-PER)  (and,CCONJ) (company,NOUN) (as,ADP) (paramount,PROPN,B-ORG)  (television,PROPN,E-ORG)  (?,.)",Name,"TV show, composer, Judy Hart Angelo, company, Paramount Television"
47,"(name,VERB) (the,DET) (tv,NOUN) (show,NOUN) (whose,PRON) (composer,NOUN) (is,VERB) (judy,PROPN,B-PER)  (hart,PROPN,I-PER)  (angelo,PROPN,E-PER)  (and,CCONJ) (company,NOUN) (as,ADP) (paramount,PROPN,B-ORG)  (television,PROPN,E-ORG)  (?,.)",WHOSE,"NAME, TV, JUDY HART ANGELO, COMPANY, PARAMOUNT TELEVISION"
48,"(where,ADV) (did,VERB) (marilyn,PROPN,B-PER)  (monroe,PROPN,E-PER)  (and,CCONJ) (arthur,NOUN) (miller,NOUN) (get,VERB) (married,VERB) (?,.)",where,"marilyn monroe, arthur miller"
49,"(where,ADV) (did,VERB) (marilyn,PROPN,B-PER)  (monroe,PROPN,E-PER)  (and,CCONJ) (arthur,NOUN) (miller,NOUN) (get,VERB) (married,VERB) (?,.)",where,"marilyn monroe, arthur miller, married"
50,"(list,VERB) (all,DET) (the,DET) (chairman,NOUN) (of,ADP) (vancouver,PROPN,B-ORG)  (whitecaps,PROPN,I-ORG)  (fc,PROPN,E-ORG)  (?,.)",list,"Chairman, vancouver whitecaps FC"
51,"(list,VERB) (all,DET) (the,DET) (chairman,NOUN) (of,ADP) (vancouver,PROPN,B-ORG)  (whitecaps,PROPN,I-ORG)  (fc,PROPN,E-ORG)  (?,.)",LIST,"CHAIRMAN, VANCOUVER, WHITECAPS"
52,"(what,PRON) (does,VERB) (the,DET) (abbreviation,NOUN) (fifa,NOUN) (stand,VERB) (for,ADP) (?,.)",WHAT,"ABBREVIATION, FIFA, STAND"
53,"(what,PRON) (does,VERB) (the,DET) (abbreviation,NOUN) (fifa,NOUN) (stand,VERB) (for,ADP) (?,.)",what,"abbreviation , fifa"
54,"(what,PRON) (plays,VERB) (edmund,PROPN) (pevensie,PROPN) (in,ADP) (narnia,NOUN) (?,.)",Query,"Plays, edmund pevensie, narnia"
55,"(what,PRON) (plays,VERB) (edmund,PROPN) (pevensie,PROPN) (in,ADP) (narnia,NOUN) (?,.)",what,"plays, edmund, pevensie, narnia"
56,"(how,ADV) (long,ADV) (is,VERB) (the,DET) (song,NOUN) (this,DET) (magic,ADJ) (moment,NOUN) (by,ADP) (lou,X) (reed,X) (?,.)",How long,"song, This Magic Moment, Lou Reed"
57,"(how,ADV) (long,ADV) (is,VERB) (the,DET) (song,NOUN) (this,DET) (magic,ADJ) (moment,NOUN) (by,ADP) (lou,X) (reed,X) (?,.)",how long,"song, this magic moment, lou reed"
58,"(when,ADV) (did,VERB) (the,DET) (ming,NOUN) (dynasty,NOUN) (dissolve,VERB) (?,.)",WHEN,"MING, DYNASTY, DISSOLVE"
59,"(when,ADV) (did,VERB) (the,DET) (ming,NOUN) (dynasty,NOUN) (dissolve,VERB) (?,.)",when,"ming,dynasty,dissolve"
60,"(what,PRON) (are,VERB) (some,DET) (employees,NOUN) (of,ADP) (uni,PROPN,S-ORG)  (of,ADP) (california,,ADJ) (santa,NOUN) (cruz,NOUN) (?,.)",what,"some, employees, uni of california, santa cruz"
61,"(what,PRON) (are,VERB) (some,DET) (employees,NOUN) (of,ADP) (uni,PROPN,S-ORG)  (of,ADP) (california,,ADJ) (santa,NOUN) (cruz,NOUN) (?,.)",What,"Employees, Uni of California, Santa Cruz"
62,"(give,VERB) (me,PRON) (all,DET) (singles,NOUN) (by,ADP) (?,.)",give,"me,  singles, donovan"
63,"(give,VERB) (me,PRON) (all,DET) (singles,NOUN) (by,ADP) (?,.)",list,"singles, donovan"
64,"(what,PRON) (things,NOUN) (have,VERB) (founded,VERB) (place,NOUN) (as,ADP) (united,PROPN,B-LOC)  (states,PROPN,E-LOC)  (and,CCONJ) (new,PROPN,B-LOC)  (mexico,PROPN,E-LOC)  (?,.)",what things,"founded, place, United States, New Mexico"
65,"(what,PRON) (things,NOUN) (have,VERB) (founded,VERB) (place,NOUN) (as,ADP) (united,PROPN,B-LOC)  (states,PROPN,E-LOC)  (and,CCONJ) (new,PROPN,B-LOC)  (mexico,PROPN,E-LOC)  (?,.)",WHAT,"UNITED STATES ,NEW MEXICO"
66,"(what,PRON) (films,NOUN) (did,VERB) (burt,NOUN) (lancaster,NOUN) (and,CCONJ) (kirk,NOUN) (douglas,NOUN) (appear,VERB) (in,ADP) (?,.)",What,"films, Burt Lancaster, Kirk Douglas"
67,"(what,PRON) (films,NOUN) (did,VERB) (burt,NOUN) (lancaster,NOUN) (and,CCONJ) (kirk,NOUN) (douglas,NOUN) (appear,VERB) (in,ADP) (?,.)",What,"films, burt lancaster, kirk douglas, appear"
68,"(where,ADV) (was,VERB) (special,PROPN) (26,NUM) (recorded,VERB) (?,.)",whare,"special , recorded"
69,"(where,ADV) (was,VERB) (special,PROPN) (26,NUM) (recorded,VERB) (?,.)",Where,"Special 26, recorded"
70,"(what,PRON) (kind,NOUN) (of,ADP) (record,NOUN) (is,VERB) (hijo,X) (de,X) (la,X) (luna,X) (?,.)",What,"Record,  Hijo De La Luna"
71,"(what,PRON) (kind,NOUN) (of,ADP) (record,NOUN) (is,VERB) (hijo,X) (de,X) (la,X) (luna,X) (?,.)",What,"record, hijo de la luna"
72,"(how,ADV) (many,ADJ) (movies,NOUN) (music,NOUN) (composers,NOUN) (are,VERB) (associated,VERB) (with,ADP) (demis,PROPN,B-PER)  (roussos,PROPN,E-PER)  (?,.)",How,"movies, music composers, associated, Demis Roussos"
73,"(how,ADV) (many,ADJ) (movies,NOUN) (music,NOUN) (composers,NOUN) (are,VERB) (associated,VERB) (with,ADP) (demis,PROPN,B-PER)  (roussos,PROPN,E-PER)  (?,.)",how many,"movies, music, composers, associated, demis roussos"
74,"(which,PRON) (municipality,NOUN) (of,ADP) (the,DET) (brown's,PROPN,B-LOC)  (corners,,PROPN,E-LOC)  (toronto,PROPN) (also,ADV) (place,NOUN) (of,ADP) (birth,NOUN) (of,ADP) (krista,PROPN,B-PER)  (kelly,PROPN,E-PER)  (?,.)",which,"municipality, Brown's Coroners, toronto, place, birth, Krista Kelly"
75,"(which,PRON) (municipality,NOUN) (of,ADP) (the,DET) (brown's,PROPN,B-LOC)  (corners,,PROPN,E-LOC)  (toronto,PROPN) (also,ADV) (place,NOUN) (of,ADP) (birth,NOUN) (of,ADP) (krista,PROPN,B-PER)  (kelly,PROPN,E-PER)  (?,.)",Which,"municipality, Brown's Corners, Toronto, place of birth, Krista Kelly"
76,"(what,PRON) (year,NOUN) (did,VERB) (george,PROPN) (w,X) (bush,X) (graduate,VERB) (from,ADP) (harvard,PROPN) (?,.)",what,"year, george w bush, graduate, harvard"
77,"(what,PRON) (year,NOUN) (did,VERB) (george,PROPN) (w,X) (bush,X) (graduate,VERB) (from,ADP) (harvard,PROPN) (?,.)",what,"year, george w bush, graduate, harvard"
78,"(what,PRON) (movie,NOUN) (starred,VERB) (tom,PROPN) (hanks,NOUN) (as,ADP) (jim,PROPN,B-PER)  (lovell,PROPN,E-PER)  (?,.)",what,"movie, hanks, jim, lovell"
79,"(what,PRON) (movie,NOUN) (starred,VERB) (tom,PROPN) (hanks,NOUN) (as,ADP) (jim,PROPN,B-PER)  (lovell,PROPN,E-PER)  (?,.)",what,"movie, starred, tom hanks, jim lovell"
80,"(name,VERB) (the,DET) (nearest,ADJ) (city,NOUN) (to,ADP) (tennie,PROPN,S-PER)  (and,CCONJ) (laura,PROPN,S-PER)  (?,.)",nearest,"city, Tennie, Laura"
81,"(name,VERB) (the,DET) (nearest,ADJ) (city,NOUN) (to,ADP) (tennie,PROPN,S-PER)  (and,CCONJ) (laura,PROPN,S-PER)  (?,.)",Name,"nearest city, tennie, laura"
82,"(to,ADP) (which,PRON) (nation,NOUN) (did,VERB) (david,PROPN,B-PER)  (animle,PROPN,I-PER)  (hanses,PROPN,E-PER)  (owe,VERB) (his,PRON) (allegiance,NOUN) (?,.)",To which,"nation, David Animle Hanses, owe, allegiance"
83,"(to,ADP) (which,PRON) (nation,NOUN) (did,VERB) (david,PROPN,B-PER)  (animle,PROPN,I-PER)  (hanses,PROPN,E-PER)  (owe,VERB) (his,PRON) (allegiance,NOUN) (?,.)",Which,"nation, David Animle Hanses, allegiance"
84,"(how,ADV) (many,ADJ) (tv,NOUN) (shows,NOUN) (have,VERB) (been,VERB) (created,VERB) (by,ADP) (simon,PROPN,B-PER)  (fuller,PROPN,E-PER)  (?,.)",HOW MANY,"TV SHOW, SIMON FULLER"
85,"(how,ADV) (many,ADJ) (tv,NOUN) (shows,NOUN) (have,VERB) (been,VERB) (created,VERB) (by,ADP) (simon,PROPN,B-PER)  (fuller,PROPN,E-PER)  (?,.)",How many,"TV shows, created, Simon Fuller"
86,"(is,VERB) (lake,NOUN) (baikal,NOUN) (bigger,ADJ) (than,ADP) (the,DET) (great,ADJ) (bear,NOUN) (lake,NOUN) (?,.)",is,"lake baikal, bigger, great bear lake"
87,"(is,VERB) (lake,NOUN) (baikal,NOUN) (bigger,ADJ) (than,ADP) (the,DET) (great,ADJ) (bear,NOUN) (lake,NOUN) (?,.)",Yes/No,"Lake bailkal, bigger,  great bear lake"
88,"(when,ADV) (did,VERB) (ludwig,X) (van,X) (beethoven,NOUN) (die,VERB) (?,.)",when,"Ludwig van Beethoven, die"
89,"(when,ADV) (did,VERB) (ludwig,X) (van,X) (beethoven,NOUN) (die,VERB) (?,.)",when,"ludwig van beethoven, die"
90,"(who,PRON) (appointed,VERB) (the,DET) (governor,NOUN) (under,ADP) (which,PRON) (robert,PROPN,B-PER)  (witherspoon,PROPN,E-PER)  (worked,VERB) (?,.)",Who,"appointed ,the governor, under,Robert Witherspoon worked"
91,"(who,PRON) (appointed,VERB) (the,DET) (governor,NOUN) (under,ADP) (which,PRON) (robert,PROPN,B-PER)  (witherspoon,PROPN,E-PER)  (worked,VERB) (?,.)",who,"appointed, governor, under, Robert Witherspoon"
92,"(what,PRON) (mountains,NOUN) (are,VERB) (in,ADP) (morocco,NOUN,S-LOC)  (and,CCONJ) (algeria,NOUN,S-LOC)  (?,.)",what,"mountains, morocco, algeria"
93,"(what,PRON) (mountains,NOUN) (are,VERB) (in,ADP) (morocco,NOUN,S-LOC)  (and,CCONJ) (algeria,NOUN,S-LOC)  (?,.)",What,"mountains, Morocco, Algeria"
94,"(how,ADV) (many,ADJ) (pieces,NOUN) (of,ADP) (work,NOUN) (did,VERB) (mozart,NOUN) (create,VERB) (?,.)",how many,"pieces of work, mozart, create"
95,"(how,ADV) (many,ADJ) (pieces,NOUN) (of,ADP) (work,NOUN) (did,VERB) (mozart,NOUN) (create,VERB) (?,.)",how many,"pieces, work, mozard, create"
96,"(what,PRON) (is,VERB) (the,DET) (area,NOUN) (of,ADP) (itv,PROPN,S-LOC)  ((thailand),X) (?,.)",What,"area, ITV, Thailand"
97,"(what,PRON) (is,VERB) (the,DET) (area,NOUN) (of,ADP) (itv,PROPN,S-LOC)  ((thailand),X) (?,.)",What,"area, ITV (Thailand)"
98,"(when,ADV) (were,VERB) (the,DET) (dixie,NOUN) (chicks,NOUN) (founded,VERB) (?,.)",when,"dixie,chicks"
99,"(when,ADV) (were,VERB) (the,DET) (dixie,NOUN) (chicks,NOUN) (founded,VERB) (?,.)",When,"Dixie chicks, founded"
100,"(list,VERB) (some,DET) (musicians,NOUN) (associated,VERB) (with,ADP) (famous,ADJ) (guitar,NOUN) (players,NOUN) (?,.)",List,"musicians, associated,  famous guitar players"
101,"(list,VERB) (some,DET) (musicians,NOUN) (associated,VERB) (with,ADP) (famous,ADJ) (guitar,NOUN) (players,NOUN) (?,.)",LIST,"MUSICIANS, ASSOCIATED, FAMOUS, GUITAR, PLAYERS"
102,"(who,PRON) (all,DET) (play,VERB) (for,ADP) (of,ADP) (the,DET) (american,ADJ,S-MISC)  (football,NOUN) (players,NOUN) (at,ADP) (quarterback,PROPN) (position,NOUN) (?,.)",who,"play, american football, players, Quarterback"
103,"(who,PRON) (all,DET) (play,VERB) (for,ADP) (of,ADP) (the,DET) (american,ADJ,S-MISC)  (football,NOUN) (players,NOUN) (at,ADP) (quarterback,PROPN) (position,NOUN) (?,.)",WHO,"PLAY, AMERICAN, FOOTBALL, PLAYERS, QUARTERBACK, POSITION"
104,"(who,PRON) (is,VERB) (the,DET) (father,NOUN) (of,ADP) (jenna,NOUN) (and,CCONJ) (barbara,PROPN,S-PER)  (?,.)",who,"father, jenna, barbara"
105,"(who,PRON) (is,VERB) (the,DET) (father,NOUN) (of,ADP) (jenna,NOUN) (and,CCONJ) (barbara,PROPN,S-PER)  (?,.)",Who,"father,jenna,barbara"
